24543,25,23,33,29,24
27319,32,24,20,28,31
28578,30,33,28,34,11
58952,30,26,28,26,24
60332,24,16,11,32,40
145756,33,30,28,25,29
235049,33,29,21,31,18
267618,30,20,17,27,18
278457,35,28,19,32,31
302465,25,32,32,36,20
309045,24,24,26,25,23
318957,24,34,26,34,25
335232,20,30,30,24,27
339577,21,26,30,29,36
520495,33,41,29,38,16
521472,30,18,21,24,40
644549,31,32,21,26,31
670891,34,31,28,27,19
673249,36,36,32,38,19
676559,30,29,24,29,24
678976,29,27,22,24,29
683959,32,35,20,32,23
685613,29,26,20,29,19
710399,25,28,27,34,18
720314,22,23,20,34,23
897208,21,31,12,16,27
972337,40,23,25,40,13
989356,36,34,24,31,34
1010480,24,12,16,28,8
1018795,25,39,20,26,19
1039189,27,23,33,28,29
1095213,37,15,4,30,30
1118944,27,28,17,27,34
1178982,32,26,26,25,25
1187507,30,27,12,30,41
1238455,25,29,30,27,26
1351463,30,19,9,17,25
1464851,27,22,22,27,27
1504760,26,40,25,36,13
1512642,29,20,23,35,23
1528123,26,29,28,32,24
1598412,30,30,27,30,17
1603334,31,34,27,31,25
1649274,25,29,15,28,33
1736631,25,21,32,27,35
1816865,38,31,32,27,22
1861966,24,25,26,24,24
1871729,34,23,23,35,22
1904131,28,21,22,24,31
1966409,31,24,20,35,25
1982435,25,18,17,22,33
2183435,26,26,25,29,24
2244193,15,36,29,14,38
2271089,25,23,23,24,26
2291958,29,35,32,27,18
2298151,28,20,25,26,20
2499506,22,23,20,23,36
2550657,31,22,25,31,39
2553909,24,24,24,24,25
2569839,29,27,23,33,26
2761696,40,38,31,41,13
2822262,24,24,24,22,26
2884507,23,29,17,39,28
2892007,33,28,17,33,36
2913937,22,22,22,22,34
3005827,25,25,18,30,28
3005837,27,29,22,26,24
3011968,23,22,10,20,39
3018218,26,23,22,24,33
3021593,33,27,25,24,28
3030713,26,21,22,24,29
3037332,30,13,25,33,29
3046611,10,35,5,27,30
3050149,29,25,23,26,26
3064724,24,21,16,24,31
3075893,23,33,11,35,26
3084420,29,23,17,19,32
3091385,27,31,25,29,37
3102992,25,26,28,25,23
3115861,24,29,29,27,29
3117574,28,30,22,33,28
3127300,29,24,22,20,37
3131454,28,24,13,22,39
3141358,35,35,32,36,12
3154721,35,30,20,28,29
3155756,31,25,21,28,25
3156694,25,23,24,32,26
3171663,21,31,18,35,28
3177776,22,16,15,19,33
3211643,25,27,34,31,32
3232614,31,32,23,31,13
3269726,32,29,30,18,14
3270046,42,30,31,26,36
3275022,25,31,24,26,12
3279297,24,17,19,25,23
3283486,25,17,22,22,43
3287105,20,40,43,36,11
3296760,37,35,25,26,38
3311231,28,32,26,23,28
3338310,32,25,23,24,28
3354260,22,20,22,25,31
3364925,24,37,23,22,28
3366063,41,35,31,32,18
3382678,23,28,21,27,26
3384958,20,31,27,27,19
3386772,25,28,27,26,24
3399746,24,28,27,32,26
3405730,26,26,25,30,33
3416266,37,39,25,36,32
3416883,33,23,21,21,29
3421172,25,30,26,24,30
3421989,23,23,25,30,22
3428018,30,13,18,29,42
3435535,31,34,26,33,23
3437441,31,25,21,26,26
3452338,33,22,21,21,25
3454895,37,34,31,27,29
3455703,14,34,8,24,34
3457101,36,32,21,13,29
3464525,26,25,23,31,17
3474996,35,38,32,38,16
3483419,41,22,21,24,42
3488394,25,22,19,22,28
3497736,32,33,25,33,17
3504961,29,34,31,35,21
3507686,26,27,24,26,26
3511706,23,27,21,27,26
3526296,31,33,41,34,34
3542564,24,28,29,26,26
3548199,38,25,18,29,44
3549987,31,33,19,35,18
3561025,29,26,27,39,16
3598410,32,18,28,29,24
